Wavelength (Å) - Plot 0,Signal Amplitude (V) - Plot 0
3480,0.0145
3481,0.0146
3482,0.0145
3483,0.0146
3484,0.0146
3485,0.0146
3486,0.0145
3487,0.0146
3488,0.0146
3489,0.0147
3490,0.0146
3491,0.0144
3492,0.0145
3493,0.0145
3494,0.0146
3495,0.0145
3496,0.0146
3497,0.0146
3498,0.0146
3499,0.0146
3500,0.0146
3501,0.0146
3502,0.0146
3503,0.0145
3504,0.0145
3505,0.0145
3506,0.0147
3507,0.0145
3508,0.0146
3509,0.0146
3510,0.0146
3511,0.0146
3512,0.0145
3513,0.0144
3514,0.0145
3515,0.0144
3516,0.0146
3517,0.0146
3518,0.0147
3519,0.0144
3520,0.0146
3521,0.0147
3522,0.0146
3523,0.0145
3524,0.0146
3525,0.0146
3526,0.0146
3527,0.0145
3528,0.0145
3529,0.0147
3530,0.0146
3531,0.0146
3532,0.0145
3533,0.0146
3534,0.0146
3535,0.0147
3536,0.0146
3537,0.0146
3538,0.0146
3539,0.0145
3540,0.0145
3541,0.0146
3542,0.0145
3543,0.0146
3544,0.0146
3545,0.0147
3546,0.0145
3547,0.0146
3548,0.0146
3549,0.0147
3550,0.0144
3551,0.0146
3552,0.0146
3553,0.0146
3554,0.0145
3555,0.0145
3556,0.0145
3557,0.0146
3558,0.0146
3559,0.0146
3560,0.0145
3561,0.0144
3562,0.0145
3563,0.0145
3564,0.0146
3565,0.0144
3566,0.0146
3567,0.0145
3568,0.0145
3569,0.0145
3570,0.0145
3571,0.0144
3572,0.0145
3573,0.0147
3574,0.0145
3575,0.0145
3576,0.0147
3577,0.0144
3578,0.0146
3579,0.0144
3580,0.0145
3581,0.0146
3582,0.0147
3583,0.0145
3584,0.0146
3585,0.0145
3586,0.0146
3587,0.0144
3588,0.0145
3589,0.0145
3590,0.0144
3591,0.0149
3592,0.0145
3593,0.0147
3594,0.0145
3595,0.0145
3596,0.0146
3597,0.0146
3598,0.0146
3599,0.0145
3600,0.0145
3601,0.0146
3602,0.0145
3603,0.0146
3604,0.0145
3605,0.0146
3606,0.0145
3607,0.0144
3608,0.0147
3609,0.0146
3610,0.0146
3611,0.0145
3612,0.0145
3613,0.0146
3614,0.0146
3615,0.0145
3616,0.0146
3617,0.0146
3618,0.0146
3619,0.0147
3620,0.0146
3621,0.0145
3622,0.0146
3623,0.0146
3624,0.0147
3625,0.0145
3626,0.0146
3627,0.0146
3628,0.0147
3629,0.0144
3630,0.0147
3631,0.0146
3632,0.0147
3633,0.0146
3634,0.0146
3635,0.0146
3636,0.0147
3637,0.0146
3638,0.0147
3639,0.0146
3640,0.0147
3641,0.0147
3642,0.0146
3643,0.0146
3644,0.0147
3645,0.0145
3646,0.0144
3647,0.0146
3648,0.0147
3649,0.0146
3650,0.0147
3651,0.0147
3652,0.0147
3653,0.0147
3654,0.0147
3655,0.0147
3656,0.0148
3657,0.0147
3658,0.0146
3659,0.0145
3660,0.0147
3661,0.0146
3662,0.0148
3663,0.0147
3664,0.0147
3665,0.0146
3666,0.0148
3667,0.0146
3668,0.0146
3669,0.0148
3670,0.0147
3671,0.0147
3672,0.0146
3673,0.0147
3674,0.0146
3675,0.0146
3676,0.0145
3677,0.0146
3678,0.0148
3679,0.0146
3680,0.0148
3681,0.0147
3682,0.0146
3683,0.0146
3684,0.0145
3685,0.0147
3686,0.0146
3687,0.0146
3688,0.0147
3689,0.0147
3690,0.0147
3691,0.0147
3692,0.0148
3693,0.0147
3694,0.0148
3695,0.0145
3696,0.0147
3697,0.0148
3698,0.0148
3699,0.0148
3700,0.0147
3701,0.0147
3702,0.0147
3703,0.0148
3704,0.0148
3705,0.0147
3706,0.0146
3707,0.0146
3708,0.0147
3709,0.0148
3710,0.0147
3711,0.0148
3712,0.0148
3713,0.0146
3714,0.0146
3715,0.0147
3716,0.0148
3717,0.0148
3718,0.0149
3719,0.0146
3720,0.015
3721,0.0149
3722,0.0147
3723,0.015
3724,0.0147
3725,0.0147
3726,0.0148
3727,0.0148
3728,0.0148
3729,0.0149
3730,0.0149
3731,0.0149
3732,0.015
3733,0.015
3734,0.0149
3735,0.015
3736,0.0151
3737,0.015
3738,0.0151
3739,0.0153
3740,0.0154
3741,0.0153
3742,0.0154
3743,0.0157
3744,0.016
3745,0.0166
3746,0.0181
3747,0.0529
3748,0.1494
3749,0.2015
3750,0.2098
3751,0.2227
3752,0.2326
3753,0.2625
3754,0.2812
3755,0.2877
3756,0.2934
3757,0.2966
3758,0.2752
3759,0.1441
3760,0.0902
3761,0.0907
3762,0.0927
3763,0.0885
3764,0.0552
3765,0.0487
3766,0.0486
3767,0.0498
3768,0.05
3769,0.0509
3770,0.051
3771,0.0491
3772,0.0321
3773,0.0168
3774,0.0155
3775,0.0152
3776,0.015
3777,0.015
3778,0.0149
3779,0.015
3780,0.0148
3781,0.0149
3782,0.015
3783,0.0149
3784,0.0148
3785,0.0149
3786,0.0148
3787,0.0148
3788,0.0148
3789,0.0148
3790,0.0148
3791,0.0148
3792,0.0148
3793,0.0148
3794,0.0149
3795,0.0146
3796,0.0148
3797,0.0147
3798,0.0148
3799,0.0147
3800,0.0149
3801,0.0148
3802,0.0148
3803,0.0149
3804,0.0147
3805,0.015
3806,0.0149
3807,0.0149
3808,0.0148
3809,0.0149
3810,0.0147
3811,0.0148
3812,0.0148
3813,0.0147
3814,0.0146
3815,0.0146
3816,0.0147
3817,0.0146
3818,0.0146
3819,0.0147
3820,0.0147
3821,0.0147
3822,0.0147
3823,0.0147
3824,0.0145
3825,0.0148
3826,0.0146
3827,0.0146
3828,0.0148
3829,0.0148
3830,0.0148
3831,0.0148
3832,0.0148
3833,0.0147
3834,0.0148
3835,0.0146
3836,0.0148
3837,0.0146
3838,0.0147
3839,0.0147
3840,0.0146
3841,0.0146
3842,0.0145
3843,0.0148
3844,0.0147
3845,0.0147
3846,0.0146
3847,0.0147
3848,0.0147
3849,0.0148
3850,0.0146
3851,0.0147
3852,0.0148
3853,0.0148
3854,0.0148
3855,0.0147
3856,0.0147
3857,0.0148
3858,0.0145
3859,0.0148
3860,0.0148
3861,0.0148
3862,0.0149
3863,0.0147
3864,0.0147
3865,0.0145
3866,0.0147
3867,0.0148
3868,0.0148
3869,0.0148
3870,0.0149
3871,0.0147
3872,0.0146
3873,0.0147
3874,0.0148
3875,0.0147
3876,0.0149
3877,0.0147
3878,0.0147
3879,0.0148
3880,0.0147
3881,0.0147
3882,0.0147
3883,0.0148
3884,0.0148
3885,0.0148
3886,0.0146
3887,0.0147
3888,0.0147
3889,0.0148
3890,0.0147
3891,0.0147
3892,0.0148
3893,0.0148
3894,0.0147
3895,0.0146
3896,0.0146
3897,0.0148
3898,0.0148
3899,0.0148
3900,0.0147
3901,0.0147
3902,0.0147
3903,0.0149
3904,0.0148
3905,0.015
3906,0.0148
3907,0.0147
3908,0.0146
3909,0.0148
3910,0.0148
3911,0.0148
3912,0.0146
3913,0.0148
3914,0.0146
3915,0.0148
3916,0.0147
3917,0.0147
3918,0.0146
3919,0.0147
3920,0.0147
3921,0.0147
3922,0.0147
3923,0.0148
3924,0.0148
3925,0.0146
3926,0.0148
3927,0.0146
3928,0.0147
3929,0.0147
3930,0.0146
3931,0.0148
3932,0.0148
3933,0.0147
3934,0.0147
3935,0.0148
3936,0.0149
3937,0.0147
3938,0.0147
3939,0.0148
3940,0.0148
3941,0.0148
3942,0.0147
3943,0.0148
3944,0.0147
3945,0.0148
3946,0.0148
3947,0.0147
3948,0.0148
3949,0.0148
3950,0.0148
3951,0.0148
3952,0.0148
3953,0.0148
3954,0.0147
3955,0.0146
3956,0.0149
3957,0.0149
3958,0.015
3959,0.015
3960,0.015
3961,0.0149
3962,0.015
3963,0.0149
3964,0.015
3965,0.0151
3966,0.015
3967,0.0151
3968,0.015
3969,0.015
3970,0.0149
3971,0.015
3972,0.015
3973,0.015
3974,0.015
3975,0.015
3976,0.0151
3977,0.015
3978,0.0151
3979,0.0151
3980,0.0151
3981,0.0151
3982,0.0149
3983,0.0151
3984,0.0151
3985,0.0152
3986,0.015
3987,0.0151
3988,0.015
3989,0.015
3990,0.0151
3991,0.0153
3992,0.015
3993,0.0152
3994,0.015
3995,0.0152
3996,0.015
3997,0.015
3998,0.0151
3999,0.015
4000,0.0152
4001,0.0153
4002,0.0154
4003,0.0151
4004,0.0155
4005,0.0157
4006,0.016
4007,0.0161
4008,0.0162
4009,0.0162
4010,0.0163
4011,0.0161
4012,0.0161
4013,0.0161
4014,0.0161
4015,0.016
4016,0.0159
4017,0.0151
4018,0.0151
4019,0.015
4020,0.015
4021,0.0149
4022,0.015
4023,0.0148
4024,0.0149
4025,0.015
4026,0.0151
4027,0.0148
4028,0.015
4029,0.0149
4030,0.0147
4031,0.0148
4032,0.0149
4033,0.0148
4034,0.015
4035,0.0148
4036,0.0149
4037,0.0149
4038,0.0147
4039,0.0149
4040,0.0148
4041,0.0148
4042,0.0148
4043,0.0147
4044,0.0147
4045,0.0147
4046,0.0148
4047,0.0148
4048,0.015
4049,0.0149
4050,0.0149
4051,0.0151
4052,0.0151
4053,0.015
4054,0.0151
4055,0.015
4056,0.015
4057,0.0152
4058,0.015
4059,0.0148
4060,0.0149
4061,0.0147
4062,0.0147
4063,0.0147
4064,0.0147
4065,0.0148
4066,0.0148
4067,0.0148
4068,0.0147
4069,0.0148
4070,0.0147
4071,0.0147
4072,0.0147
4073,0.0148
4074,0.0148
4075,0.0149
4076,0.0148
4077,0.0147
4078,0.0149
4079,0.0146
4080,0.0147
4081,0.0147
4082,0.0149
4083,0.0148
4084,0.0149
4085,0.015
4086,0.015
4087,0.015
4088,0.0149
4089,0.015
4090,0.0151
4091,0.0151
4092,0.0151
4093,0.0152
4094,0.0146
4095,0.0147
4096,0.0147
4097,0.0148
4098,0.0149
4099,0.0147
4100,0.0148
4101,0.0148
4102,0.0148
4103,0.015
4104,0.0148
4105,0.0148
4106,0.0148
4107,0.0148
4108,0.0148
4109,0.0147
4110,0.0149
4111,0.0147
4112,0.0148
4113,0.0148
4114,0.0147
4115,0.015
4116,0.0149
4117,0.0149
4118,0.0149
4119,0.0148
4120,0.015
4121,0.0151
4122,0.0149
4123,0.015
4124,0.015
4125,0.0151
4126,0.015
4127,0.0149
4128,0.0151
4129,0.0152
4130,0.0151
4131,0.0152
4132,0.0153
4133,0.0152
4134,0.0155
4135,0.0156
4136,0.0158
4137,0.0158
4138,0.0158
4139,0.016
4140,0.0167
4141,0.0175
4142,0.0203
4143,0.0242
4144,0.1898
4145,0.2913
4146,0.3209
4147,0.3472
4148,0.3571
4149,0.3855
4150,0.3951
4151,0.41
4152,0.4136
4153,0.4202
4154,0.4219
4155,0.3439
4156,0.0699
4157,0.0272
4158,0.018
4159,0.0172
4160,0.0168
4161,0.0161
4162,0.016
4163,0.0157
4164,0.0158
4165,0.0155
4166,0.0155
4167,0.0156
4168,0.0155
4169,0.0156
4170,0.0154
4171,0.0156
4172,0.0157
4173,0.0159
4174,0.0191
4175,0.0348
4176,0.0449
4177,0.0513
4178,0.0531
4179,0.0559
4180,0.0575
4181,0.0592
4182,0.0605
4183,0.0625
4184,0.0628
4185,0.0632
4186,0.0541
4187,0.0283
4188,0.0168
4189,0.0157
4190,0.0154
4191,0.0154
4192,0.0153
4193,0.0153
4194,0.0153
4195,0.0152
4196,0.015
4197,0.0152
4198,0.0151
4199,0.0154
4200,0.0153
4201,0.0152
4202,0.0152
4203,0.0152
4204,0.0152
4205,0.0153
4206,0.0156
4207,0.0157
4208,0.0158
4209,0.0158
4210,0.0157
4211,0.0157
4212,0.0157
4213,0.0157
4214,0.0159
4215,0.0159
4216,0.0157
4217,0.0155
4218,0.0153
4219,0.0151
4220,0.0152
4221,0.0152
4222,0.0153
4223,0.0152
4224,0.0152
4225,0.0152
4226,0.0154
4227,0.0152
4228,0.0152
4229,0.0153
4230,0.0152
4231,0.0152
4232,0.0153
4233,0.0152
4234,0.0152
4235,0.0152
4236,0.0151
4237,0.0152
4238,0.0151
4239,0.0152
4240,0.0154
4241,0.0152
4242,0.0151
4243,0.0151
4244,0.015
4245,0.015
4246,0.0149
4247,0.015
4248,0.0151
4249,0.0149
4250,0.0151
4251,0.0151
4252,0.0149
4253,0.0151
4254,0.0149
4255,0.015
4256,0.015
4257,0.0159
4258,0.017
4259,0.0172
4260,0.0176
4261,0.0178
4262,0.0178
4263,0.0183
4264,0.0186
4265,0.0186
4266,0.0189
4267,0.0188
4268,0.0189
4269,0.0169
4270,0.016
4271,0.0154
4272,0.0155
4273,0.0156
4274,0.0154
4275,0.0152
4276,0.0151
4277,0.0151
4278,0.0151
4279,0.0151
4280,0.0151
4281,0.0152
4282,0.0153
4283,0.0153
4284,0.0154
4285,0.0155
4286,0.0154
4287,0.0156
4288,0.0155
4289,0.0155
4290,0.0159
4291,0.0161
4292,0.0161
4293,0.0161
4294,0.016
4295,0.0161
4296,0.0162
4297,0.0163
4298,0.0169
4299,0.0171
4300,0.0185
4301,0.019
4302,0.0188
4303,0.0188
4304,0.0188
4305,0.0192
4306,0.0194
4307,0.0196
4308,0.0199
4309,0.0195
4310,0.0188
4311,0.0182
4312,0.0162
4313,0.0154
4314,0.0152
4315,0.015
4316,0.015
4317,0.0152
4318,0.015
4319,0.0149
4320,0.0151
4321,0.0151
4322,0.0151
4323,0.0151
4324,0.015
4325,0.0151
4326,0.0154
4327,0.0151
4328,0.0153
4329,0.0152
4330,0.0152
4331,0.0153
4332,0.0153
4333,0.0152
4334,0.0152
4335,0.0153
4336,0.0152
4337,0.0154
4338,0.0155
4339,0.0153
4340,0.0155
4341,0.0153
4342,0.0154
4343,0.0153
4344,0.0152
4345,0.0151
4346,0.0153
4347,0.0152
4348,0.0152
4349,0.0152
4350,0.0152
4351,0.0153
4352,0.0153
4353,0.0154
4354,0.0153
4355,0.0153
4356,0.0154
4357,0.0154
4358,0.0154
4359,0.0158
4360,0.0159
4361,0.0161
4362,0.016
4363,0.016
4364,0.0161
4365,0.016
4366,0.0165
4367,0.0167
4368,0.0168
4369,0.0172
4370,0.0168
4371,0.0162
4372,0.0165
4373,0.017
4374,0.0172
4375,0.0171
4376,0.0172
4377,0.0172
4378,0.0167
4379,0.0166
4380,0.0167
4381,0.0167
4382,0.0167
4383,0.0163
4384,0.0152
4385,0.0152
4386,0.0154
4387,0.0153
4388,0.0153
4389,0.0153
4390,0.0152
4391,0.0153
4392,0.0153
4393,0.0153
4394,0.0154
4395,0.0155
4396,0.0153
4397,0.0153
4398,0.0155
4399,0.0155
4400,0.0159
4401,0.016
4402,0.0162
4403,0.0162
4404,0.0164
4405,0.0161
4406,0.0162
4407,0.0166
4408,0.0166
4409,0.0165
4410,0.0163
4411,0.0155
4412,0.0155
4413,0.0156
4414,0.0156
4415,0.0155
4416,0.0156
4417,0.0155
4418,0.0155
4419,0.0157
4420,0.0155
4421,0.0156
4422,0.0157
4423,0.0157
4424,0.0157
4425,0.0157
4426,0.0158
4427,0.0158
4428,0.0157
4429,0.0157
4430,0.0159
4431,0.0159
4432,0.0163
4433,0.0166
4434,0.0168
4435,0.017
4436,0.017
4437,0.0182
4438,0.0205
4439,0.0219
4440,0.0227
4441,0.0229
4442,0.0238
4443,0.0238
4444,0.0243
4445,0.0259
4446,0.0319
4447,0.0373
4448,0.0383
4449,0.0372
4450,0.0357
4451,0.0374
4452,0.0396
4453,0.0423
4454,0.0463
4455,0.0703
4456,0.466
4457,0.9691
4458,1.1588
4459,1.2883
4460,1.3408
4461,1.402
4462,1.4719
4463,1.5279
4464,1.5532
4465,1.5766
4466,1.5885
4467,1.3032
4468,0.4565
4469,0.1204
4470,0.0337
4471,0.0295
4472,0.0235
4473,0.0209
4474,0.02
4475,0.0191
4476,0.0179
4477,0.0177
4478,0.0175
4479,0.017
4480,0.0169
4481,0.0168
4482,0.0166
4483,0.0165
4484,0.0164
4485,0.0162
4486,0.016
4487,0.0161
4488,0.016
4489,0.0159
4490,0.0159
4491,0.0157
4492,0.0158
4493,0.0157
4494,0.0158
4495,0.0154
4496,0.0156
4497,0.0156
4498,0.0155
4499,0.0155
4500,0.0154
4501,0.0155
4502,0.0156
4503,0.0153
4504,0.0154
4505,0.0154
4506,0.0154
4507,0.0156
4508,0.0155
4509,0.0155
4510,0.0154
4511,0.0153
4512,0.0153
4513,0.0153
4514,0.0154
4515,0.0153
4516,0.0152
4517,0.0153
4518,0.0154
4519,0.0152
4520,0.0152
4521,0.0152
4522,0.0153
4523,0.0154
4524,0.0152
4525,0.0152
4526,0.0153
4527,0.0152
4528,0.0153
4529,0.0152
4530,0.0152
4531,0.0152
4532,0.0154
4533,0.0152
4534,0.015
4535,0.0152
4536,0.0151
4537,0.0151
4538,0.0152
4539,0.0152
4540,0.0152
4541,0.0152
4542,0.0153
4543,0.0151
4544,0.0151
4545,0.0151
4546,0.0153
4547,0.015
4548,0.0151
4549,0.0151
4550,0.015
4551,0.015
4552,0.0152
4553,0.0153
4554,0.0151
4555,0.0149
4556,0.0151
4557,0.0151
4558,0.0151
4559,0.015
4560,0.0152
4561,0.0151
4562,0.0151
4563,0.015
4564,0.0151
4565,0.0151
4566,0.015
4567,0.015
4568,0.0151
4569,0.015
4570,0.015
4571,0.0151
4572,0.015
4573,0.0152
4574,0.015
4575,0.015
4576,0.0151
4577,0.0151
4578,0.0152
4579,0.015
4580,0.0153
4581,0.0153
4582,0.0151
4583,0.0153
4584,0.0153
4585,0.0153
4586,0.0153
4587,0.0151
4588,0.0153
4589,0.0154
4590,0.0152
4591,0.0151
4592,0.0151
4593,0.015
4594,0.0151
4595,0.0151
4596,0.0148
4597,0.015
4598,0.0149
4599,0.0149
4600,0.0148
4601,0.0149
4602,0.015
4603,0.0148
4604,0.0149
4605,0.0148
4606,0.0149
4607,0.0149
4608,0.015
4609,0.0148
4610,0.015
4611,0.015
4612,0.0152
4613,0.0153
4614,0.0154
4615,0.0155
4616,0.0154
4617,0.0154
4618,0.0154
4619,0.0154
4620,0.0155
4621,0.0156
4622,0.0152
4623,0.0149
4624,0.0149
4625,0.015
4626,0.0151
4627,0.015
4628,0.0149
4629,0.0151
4630,0.0151
4631,0.0151
4632,0.015
4633,0.0151
4634,0.015
4635,0.0149
4636,0.0146
4637,0.015
4638,0.0148
4639,0.0149
4640,0.0148
4641,0.0147
4642,0.015
4643,0.0147
4644,0.015
4645,0.0147
4646,0.0149
4647,0.0149
4648,0.0147
4649,0.0148
4650,0.0149
4651,0.0148
4652,0.0149
4653,0.0149
4654,0.0148
4655,0.0148
4656,0.0148
4657,0.0148
4658,0.0147
4659,0.0149
4660,0.0148
4661,0.0149
4662,0.0149
4663,0.0149
4664,0.0149
4665,0.015
4666,0.0151
4667,0.0149
4668,0.0149
4669,0.0148
4670,0.0149
4671,0.015
4672,0.0151
4673,0.015
4674,0.015
4675,0.0149
4676,0.0149
4677,0.0151
4678,0.015
4679,0.0151
4680,0.015
4681,0.015
4682,0.015
4683,0.0151
4684,0.0149
4685,0.0151
4686,0.015
4687,0.0149
4688,0.015
4689,0.0148
4690,0.0149
4691,0.0151
4692,0.0148
4693,0.015
4694,0.015
4695,0.0151
4696,0.0151
4697,0.015
4698,0.0151
4699,0.0151
4700,0.0151
4701,0.0151
4702,0.0152
4703,0.0151
4704,0.0152
4705,0.0151
4706,0.0151
4707,0.0151
4708,0.0151
4709,0.015
4710,0.015
4711,0.015
4712,0.0151
4713,0.015
4714,0.0149
4715,0.0149
4716,0.015
4717,0.0149
4718,0.0149
4719,0.0149
4720,0.015
4721,0.0149
4722,0.0151
4723,0.015
4724,0.0151
4725,0.015
4726,0.0151
4727,0.0148
4728,0.015
4729,0.0151
4730,0.0151
4731,0.015
4732,0.0151
4733,0.015
4734,0.0149
4735,0.0151
4736,0.0149
4737,0.015
4738,0.0151
4739,0.0149
4740,0.0148
4741,0.0148
4742,0.0149
4743,0.0148
4744,0.0149
4745,0.0147
4746,0.0148
4747,0.0147
4748,0.0147
4749,0.0147
4750,0.0145
4751,0.0146
4752,0.0148
4753,0.0147
4754,0.0145
4755,0.0146
4756,0.0147
4757,0.0146
4758,0.0147
4759,0.0145
4760,0.0145
4761,0.0145
4762,0.0145
4763,0.0146
4764,0.0146
4765,0.0145
4766,0.0146
4767,0.0146
4768,0.0146
4769,0.0145
4770,0.0147
4771,0.0146
4772,0.0145
4773,0.0145
4774,0.0147
4775,0.0146
4776,0.0147
4777,0.0147
4778,0.0146
4779,0.0147
4780,0.0147
4781,0.0146
4782,0.0146
4783,0.0147
4784,0.0144
4785,0.0144
4786,0.0146
4787,0.0146
4788,0.0144
4789,0.0145
4790,0.0145
4791,0.0145
4792,0.0146
4793,0.0146
4794,0.0146
4795,0.0145
4796,0.0144
4797,0.0146
4798,0.0146
4799,0.0146
4800,0.0145
4801,0.0146
4802,0.0148
4803,0.0147
4804,0.0147
4805,0.0146
4806,0.0147
4807,0.0147
4808,0.0147
4809,0.0147
4810,0.0147
4811,0.0147
4812,0.0146
4813,0.0145
4814,0.0145
4815,0.0144
4816,0.0144
4817,0.0146
4818,0.0145
4819,0.0145
4820,0.0145
4821,0.0146
4822,0.0144
4823,0.0147
4824,0.0144
4825,0.0146
4826,0.0146
4827,0.0144
4828,0.0145
4829,0.0145
4830,0.0146
4831,0.0146
4832,0.0145
4833,0.0145
4834,0.0146
4835,0.0145
4836,0.0146
4837,0.0146
4838,0.0145
4839,0.0144
4840,0.0146
4841,0.0146
4842,0.0145
4843,0.0145
4844,0.0145
4845,0.0145
4846,0.0146
4847,0.0146
4848,0.0147
4849,0.0145
4850,0.0145
4851,0.0145
4852,0.0146
4853,0.0145
4854,0.0146
4855,0.0146
4856,0.0146
4857,0.0145
4858,0.0146
4859,0.0146
4860,0.0145
4861,0.0146
4862,0.0145
4863,0.0144
4864,0.0146
4865,0.0146
