Wavelength(10nm),Signal_Amplitude(V)
3480.1,0.0146
3485.1,0.0146
3490.1,0.0146
3495.1,0.0146
3500.1,0.0146
3505.1,0.0146
3510.1,0.0146
3515.1,0.0146
3520.1,0.0147
3525.1,0.0148
3530.1,0.0147
3535.1,0.0147
3540.1,0.0145
3545.1,0.0145
3550.1,0.0146
3555.1,0.0145
3560.1,0.0147
3565.1,0.0148
3570.1,0.0146
3575.1,0.0147
3580.1,0.0147
3585.1,0.0148
3590.1,0.0147
3595.1,0.0149
3600.1,0.0149
3605.1,0.0151
3610.1,0.0155
3615.1,0.0154
3620.1,0.0152
3625.1,0.0151
3630.1,0.0152
3635.1,0.0151
3640.1,0.0152
3645.1,0.0158
3650.1,0.0157
3655.1,0.0157
3660.1,0.0158
3665.1,0.0158
3670.1,0.0157
3675.1,0.0157
3680.1,0.016
3685.1,0.0162
3690.1,0.0161
3695.1,0.0162
3700.1,0.0163
3705.1,0.0166
3710.1,0.0165
3715.1,0.0171
3720.1,0.0175
3725.1,0.019
3730.1,0.0217
3735.1,0.0257
3740.1,1.5924
3745.1,1.9313
3750.1,2.0884
3755.1,0.4716
3760.1,0.299
3765.1,0.1029
3770.1,0.0347
3775.1,0.0179
3780.1,0.0174
3785.1,0.017
3790.1,0.0173
3795.1,0.0177
3800.1,0.0174
3805.1,0.0167
3810.1,0.0163
3815.1,0.0161
3820.1,0.0162
3825.1,0.0161
3830.1,0.0159
3835.1,0.0159
3840.1,0.0158
3845.1,0.0159
3850.1,0.0162
3855.1,0.0165
3860.1,0.0162
3865.1,0.0163
3870.1,0.0164
3875.1,0.0163
3880.1,0.0162
3885.1,0.016
3890.1,0.0163
3895.1,0.0165
3900.1,0.0164
3905.1,0.0161
3910.1,0.0161
3915.1,0.016
3920.1,0.0162
3925.1,0.0162
3930.1,0.0162
3935.1,0.0162
3940.1,0.0159
3945.1,0.016
3950.1,0.0161
3955.1,0.0163
3960.1,0.0164
3965.1,0.0166
3970.1,0.0165
3975.1,0.0164
3980.1,0.0164
3985.1,0.0164
3990.1,0.0175
3995.1,0.0238
4000.1,0.0255
4005.1,0.027
4010.1,0.0191
4015.1,0.0167
4020.1,0.0164
4025.1,0.0164
4030.1,0.0162
4035.1,0.0165
4040.1,0.0193
4045.1,0.0201
4050.1,0.0178
4055.1,0.0165
4060.1,0.0162
4065.1,0.0164
4070.1,0.0166
4075.1,0.0171
4080.1,0.0176
4085.1,0.0173
4090.1,0.0169
4095.1,0.0169
4100.1,0.0169
4105.1,0.0174
4110.1,0.0176
4115.1,0.0181
4120.1,0.0194
4125.1,0.0209
4130.1,0.0232
4135.1,1.3813
4140.1,2.0712
4145.1,1.873
4150.1,0.4308
4155.1,0.0278
4160.1,0.0224
4165.1,0.1354
4170.1,0.2267
4175.1,0.2661
4180.1,0.0825
4185.1,0.0433
4190.1,0.0197
4195.1,0.022
4200.1,0.0243
4205.1,0.0245
4210.1,0.0208
4215.1,0.0192
4220.1,0.019
4225.1,0.019
4230.1,0.0191
4235.1,0.0189
4240.1,0.0189
4245.1,0.0254
4250.1,0.0488
4255.1,0.0638
4260.1,0.0461
4265.1,0.0283
4270.1,0.0216
4275.1,0.0232
4280.1,0.0295
4285.1,0.0367
4290.1,0.0604
4295.1,0.0754
4300.1,0.061
4305.1,0.0343
4310.1,0.0187
4315.1,0.0188
4320.1,0.0201
4325.1,0.0201
4330.1,0.0191
4335.1,0.0188
4340.1,0.02
4345.1,0.021
4350.1,0.0272
4355.1,0.0367
4360.1,0.0408
4365.1,0.0445
4370.1,0.04
4375.1,0.0299
4380.1,0.0209
4385.1,0.0205
4390.1,0.0257
4395.1,0.0329
4400.1,0.0303
4405.1,0.0241
4410.1,0.0222
4415.1,0.0226
4420.1,0.0243
4425.1,0.0354
4430.1,0.0742
4435.1,0.1173
4440.1,0.1992
4445.1,0.7044
4450.1,6.1038
4455.1,8.984
4460.1,4.6466
4465.1,0.963
4470.1,0.038
4475.1,0.0305
4480.1,0.0272
4485.1,0.0247
4490.1,0.0235
4495.1,0.0227
4500.1,0.0219
4505.1,0.0216
4510.1,0.0214
4515.1,0.0213
4520.1,0.0212
4525.1,0.0209
4530.1,0.0207
4535.1,0.0206
4540.1,0.0204
4545.1,0.0204
4550.1,0.0202
4555.1,0.0205
4560.1,0.0204
4565.1,0.0204
4570.1,0.0206
4575.1,0.0204
4580.1,0.021
4585.1,0.021
4590.1,0.0205
4595.1,0.0206
4600.1,0.024
4605.1,0.0284
4610.1,0.029
4615.1,0.0246
4620.1,0.0232
4625.1,0.0222
4630.1,0.021
4635.1,0.0208
4640.1,0.0205
4645.1,0.0207
4650.1,0.0205
4655.1,0.0209
4660.1,0.0211
4665.1,0.0216
4670.1,0.0217
4675.1,0.0217
4680.1,0.0213
4685.1,0.0219
4690.1,0.0228
4695.1,0.0227
4700.1,0.0209
4705.1,0.0203
4710.1,0.0198
4715.1,0.0196
4720.1,0.0204
4725.1,0.0206
4730.1,0.0202
4735.1,0.019
4740.1,0.0181
4745.1,0.0177
4750.1,0.0173
4755.1,0.017
4760.1,0.0169
4765.1,0.017
4770.1,0.0169
4775.1,0.0169
4780.1,0.0168
4785.1,0.0168
4790.1,0.018
4795.1,0.0189
4800.1,0.0188
4805.1,0.0176
4810.1,0.0165
4815.1,0.0164
4820.1,0.0162
4825.1,0.0164
4830.1,0.0164
4835.1,0.0163
4840.1,0.0164
4845.1,0.0163
4850.1,0.0164
4855.1,0.0163
4860.1,0.0161
4865.1,0.0163
4870.1,0.0161
4875.1,0.0161
4880.1,0.016
4885.1,0.016
4890.1,0.016
4895.1,0.0161
4900.1,0.016
4905.1,0.0161
4910.1,0.0159
4915.1,0.0161
4920.1,0.0162
4925.1,0.0162
4930.1,0.016
4935.1,0.016
4940.1,0.016
4945.1,0.016
4950.1,0.016
4955.1,0.0159
4960.1,0.0159
4965.1,0.0159
4970.1,0.0162
4975.1,0.0163
4980.1,0.0164
4985.1,0.0164
4990.1,0.0162
4995.1,0.0162
5000.1,0.0161
5005.1,0.0409
5010.1,0.0708
5015.1,0.0842
5020.1,0.0443
5025.1,0.0301
5030.1,0.0162
5035.1,0.016
5040.1,0.016
5045.1,0.0161
5050.1,0.016
5055.1,0.0159
5060.1,0.0161
5065.1,0.0161
5070.1,0.0162
5075.1,0.016
5080.1,0.0161
5085.1,0.0162
5090.1,0.0161
5095.1,0.0159
5100.1,0.016
5105.1,0.0161
5110.1,0.016
5115.1,0.0164
5120.1,0.0166
5125.1,0.0166
5130.1,0.0163
5135.1,0.0162
5140.1,0.0164
5145.1,0.0165
5150.1,0.0165
5155.1,0.0165
5160.1,0.0162
5165.1,0.0162
5170.1,0.0162
5175.1,0.0163
5180.1,0.0163
5185.1,0.0162
5190.1,0.0162
5195.1,0.0163
5200.1,0.0163
5205.1,0.0164
5210.1,0.0163
5215.1,0.0164
5220.1,0.0166
5225.1,0.0161
5230.1,0.0162
5235.1,0.0161
5240.1,0.0165
5245.1,0.0165
5250.1,0.0169
5255.1,0.0172
5260.1,0.0176
5265.1,0.0173
5270.1,0.0173
5275.1,0.0176
5280.1,0.0185
5285.1,0.0189
5290.1,0.0181
5295.1,0.0175
5300.1,0.0173
5305.1,0.0173
5310.1,0.0175
5315.1,0.0179
5320.1,0.018
5325.1,0.0179
5330.1,0.0174
5335.1,0.0173
5340.1,0.0174
5345.1,0.0175
5350.1,0.0174
5355.1,0.0171
5360.1,0.0168
5365.1,0.0167
5370.1,0.0168
5375.1,0.0168
5380.1,0.0169
5385.1,0.0167
5390.1,0.0167
5395.1,0.0167
5400.1,0.0168
5405.1,0.0169
5410.1,0.0168
5415.1,0.0171
5420.1,0.017
5425.1,0.0178
5430.1,0.0173
5435.1,0.0168
5440.1,0.0169
5445.1,0.0174
5450.1,0.0179
5455.1,0.0176
5460.1,0.0172
5465.1,0.0172
5470.1,0.0174
5475.1,0.0174
5480.1,0.0172
5485.1,0.0176
5490.1,0.0177
5495.1,0.0177
5500.1,0.0178
5505.1,0.018
5510.1,0.0186
5515.1,0.0191
5520.1,0.0195
5525.1,0.0201
5530.1,0.0214
5535.1,0.0231
5540.1,0.0264
5545.1,0.0391
5550.1,1.0686
5555.1,4.8025
5560.1,5.3466
5565.1,3.0068
5570.1,0.7632
5575.1,0.0323
5580.1,0.0281
5585.1,0.0228
5590.1,0.0223
5595.1,0.0218
5600.1,0.02
5605.1,0.0191
5610.1,0.0187
5615.1,0.0183
5620.1,0.0179
5625.1,0.018
5630.1,0.0175
5635.1,0.0175
5640.1,0.0174
5645.1,0.0176
5650.1,0.0183
5655.1,0.0195
5660.1,0.0192
5665.1,0.0182
5670.1,0.0178
5675.1,0.0175
5680.1,0.0171
5685.1,0.0174
5690.1,0.0173
5695.1,0.0177
5700.1,0.0188
5705.1,0.0194
5710.1,0.0178
5715.1,0.0171
5720.1,0.017
5725.1,0.017
5730.1,0.0171
5735.1,0.0171
5740.1,0.0176
5745.1,0.0179
5750.1,0.0179
5755.1,0.0175
5760.1,0.0174
5765.1,0.0181
5770.1,0.0187
5775.1,0.019
5780.1,0.0186
5785.1,0.0181
5790.1,0.0178
5795.1,0.0177
5800.1,0.0175
5805.1,0.0175
5810.1,0.0173
5815.1,0.0173
5820.1,0.0173
5825.1,0.0174
5830.1,0.0176
5835.1,0.0179
5840.1,0.0179
5845.1,0.0175
5850.1,0.0176
5855.1,0.0256
5860.1,0.3824
5865.1,0.624
5870.1,0.6676
5875.1,0.3618
5880.1,0.1264
5885.1,0.486
5890.1,0.6531
5895.1,0.3604
5900.1,0.097
5905.1,0.0183
5910.1,0.0172
5915.1,0.0166
5920.1,0.0162
5925.1,0.0162
5930.1,0.0162
5935.1,0.0162
5940.1,0.0159
5945.1,0.0158
5950.1,0.016
5955.1,0.0166
5960.1,0.0166
5965.1,0.0161
5970.1,0.016
5975.1,0.0161
5980.1,0.0171
5985.1,0.0174
5990.1,0.0168
5995.1,0.0159
6000.1,0.0157
6005.1,0.0167
6010.1,0.0173
6015.1,0.0165
6020.1,0.0162
6025.1,0.0161
6030.1,0.016
6035.1,0.0155
6040.1,0.0156
6045.1,0.0156
6050.1,0.0152
6055.1,0.0153
6060.1,0.0152
6065.1,0.0154
6070.1,0.0155
6075.1,0.0153
6080.1,0.0155
6085.1,0.0157
6090.1,0.0156
6095.1,0.0157
6100.1,0.0157
6105.1,0.0157
6110.1,0.0158
6115.1,0.0155
6120.1,0.0177
6125.1,0.0198
6130.1,0.0205
6135.1,0.0189
6140.1,0.0178
6145.1,0.0173
6150.1,0.0169
6155.1,0.0166
6160.1,0.0163
6165.1,0.0162
6170.1,0.0165
6175.1,0.0159
6180.1,0.0153
6185.1,0.0151
6190.1,0.0153
6195.1,0.0155
6200.1,0.0158
6205.1,0.0156
6210.1,0.0155
6215.1,0.0163
6220.1,0.0173
6225.1,0.0177
6230.1,0.016
6235.1,0.015
6240.1,0.0152
6245.1,0.0154
6250.1,0.0152
6255.1,0.015
6260.1,0.015
6265.1,0.0155
6270.1,0.016
6275.1,0.0155
6280.1,0.015
6285.1,0.0147
6290.1,0.0145
6295.1,0.0148
6300.1,0.0147
6305.1,0.015
6310.1,0.0155
6315.1,0.0154
6320.1,0.015
6325.1,0.0154
6330.1,0.0161
6335.1,0.0162
6340.1,0.0158
6345.1,0.016
6350.1,0.0166
6355.1,0.017
6360.1,0.0174
6365.1,0.0168
6370.1,0.0155
6375.1,0.0147
6380.1,0.0146
6385.1,0.0146
6390.1,0.0148
6395.1,0.0149
6400.1,0.0152
6405.1,0.0152
6410.1,0.015
6415.1,0.0145
6420.1,0.0145
6425.1,0.0146
6430.1,0.0145
6435.1,0.0143
6440.1,0.0143
6445.1,0.0143
6450.1,0.0143
6455.1,0.0144
6460.1,0.0146
6465.1,0.0146
6470.1,0.0146
6475.1,0.015
6480.1,0.0152
6485.1,0.0152
6490.1,0.0147
6495.1,0.0144
6500.1,0.0142
6505.1,0.0148
6510.1,0.0182
6515.1,0.0191
6520.1,0.0178
6525.1,0.0147
6530.1,0.0144
6535.1,0.0144
6540.1,0.0143
6545.1,0.0144
6550.1,0.0145
6555.1,0.0143
6560.1,0.0143
6565.1,0.0144
6570.1,0.0144
6575.1,0.0141
6580.1,0.0142
6585.1,0.0143
6590.1,0.0145
6595.1,0.0143
6600.1,0.0142
6605.1,0.0141
6610.1,0.0142
6615.1,0.0143
6620.1,0.0142
6625.1,0.0144
6630.1,0.0143
6635.1,0.0145
6640.1,0.0145
6645.1,0.0143
6650.1,0.014
6655.1,0.0141
6660.1,0.0142
6665.1,0.0142
6670.1,0.0139
6675.1,0.0142
6680.1,0.0142
6685.1,0.0141
6690.1,0.0142
6695.1,0.0144
6700.1,0.0147
6705.1,0.0147
6710.1,0.0142
6715.1,0.0141
6720.1,0.0142
6725.1,0.0141
6730.1,0.0141
6735.1,0.014
6740.1,0.014
6745.1,0.0141
6750.1,0.0142
6755.1,0.0146
6760.1,0.0146
6765.1,0.0167
6770.1,0.0207
6775.1,0.0243
6780.1,0.0219
6785.1,0.0177
6790.1,0.0148
6795.1,0.0144
6800.1,0.0143
6805.1,0.0146
6810.1,0.0156
