Block_material,Thickness_claim,Block_thickness(mm),Err(mm),Peak_height Cs(Run2),Folder_name Cs,Peak_height Na(Run2),Folder_name Na
Pb,1.058,0.925,0.005,450,16:24:46,499,12:44:20
Pb,0.43,0.855,0.005,450,16:38:10,485,13:01:36
Pb,6.58,6.159,0.005,230,16:46:18,224,12:51:33
Pb,5.365,5.253,0.005,230,16:53:09,204,12:55:15
Pb,0.52,0.93,0.005,400,17:00:39,460,12:47:44
Pb,0.57,1.465,0.005,400,17:04:09,458,13:07:03
Cu,15.25,15.26,0.005,170,15:02:11,213,13:13:06
Cu,6.33,6.396,0.005,289,14:57:51,377,13:17:06
Cu,2.14,2.17,0.005,361,14:53:43,492,13:22:36
Cu,0.751,0.78,0.005,443,14:49:02,536,13:26:11
Cu,0.752,0.78,0.005,403,14:39:27,505,13:29:42
Al,25.43,25.465,0.005,274,14:18:34,344,13:33:41
Al,15.01,14.995,0.005,341,14:14:57,404,13:37:19
Al,9.715,9.815,0.005,362,14:10:25,454,13:41:02
Al,6.42,6.481,0.005,381,14:06:49,525,13:45:01
Al,1.05,1.049,0.005,420,14:02:29,558,13:48:47
Al,0.8,0.828,0.005,421,13:58:46,573,13:52:47