Time,Voltage_(V),Peak_location,Peak_error
14:06:13,400,0.04012,0.0005
14:04:03,410,0.049,0.0005
14:07:41,420,0.05946,0.0005
14:09:50,430,0.07191,0.0005
14:15:24,440,0.08669,0.0005
14:18:03,450,0.10437,0.001
14:21:26,460,0.12462,0.001
14:24:43,470,0.14828,0.001
14:27:45,480,0.17667,0.002
14:30:33,490,0.20747,0.002
14:34:23,500,0.24441,0.002
14:37:15,510,0.28702,0.002
14:40:17,520,0.3356,0.002
14:43:16,530,0.39129,0.003
14:45:30,540,0.45641,0.004
14:47:47,550,0.53009,0.004
14:50:21,560,0.61551,0.004
14:53:53,570,0.71622,0.005
14:56:54,580,0.82935,0.005
14:59:38,590,0.96113,0.005
15:02:27,600,1.10484,0.005
15:05:15,610,1.27087,0.006
15:07:34,620,1.38591,0.006
15:10:38,630,1.4798,0.006
15:14:24,640,1.55463,0.006
15:16:24,650,1.61985,0.006
15:18:22,660,1.67401,0.006
15:20:19,670,1.72133,0.006
15:22:19,680,1.75952,0.006
15:24:09,690,1.79502,0.006
15:26:00,700,1.80954,0.006
15:28:24,710,1.80973,0.1
15:31:19,720,1.81358,0.1
15:34:11,730,1.83147,0.1
15:36:41,740,1.83994,0.1
15:38:32,750,1.85148,0.1